sn,bd1,bd2
1,0.0,0.0
2,6.50099,2.21672
3,1.80055,0.0
4,0.0763139,0.0
5,0.0616788,0.0
6,0.0173723,0.0
7,0.00514599,0.0
8,0.0,0.0
9,0.0,0.0
10,0.00375912,0.0
11,0.0,0.0
12,0.0,0.0
13,171.855,216.182
14,8.04737,10.0964
15,7.32726,9.2489
16,3.8258,0.487862
17,4.48858,3.51634
18,5.52993,3.89559
19,9.40803,4.76762
20,7.30715,9.06683
21,0.546241,7.15576
22,5.68854,4.57255
23,6.06088,7.10148
24,10.5822,11.2873
25,0.619745,10.6917
26,12.3003,0.589828
27,11.4848,21.4635
28,10.1882,0.84831
29,0.814964,10.5789
30,18.4262,6.70434
31,0.620036,11.1012
32,22.5398,9.99476
33,0.695,8.21452
34,7.98496,0.529414
35,6.21007,3.30362
36,19.9574,19.4578
37,0.470182,0.361241
38,7.32234,6.92238
39,4.28464,3.57266
40,8.31084,7.05583
41,9.71591,0.470793
42,13.9905,17.3326
43,0.432737,0.356828
44,11.0592,8.04128
45,3.5635,4.6269
46,14.8973,0.193103
47,1.73077,8.17514
48,0.963175,3.37262
49,0.839416,1.69497
50,0.662774,0.408483
51,0.0563869,0.0348966
52,0.337117,0.0214483
53,0.160693,0.061
54,1.15438,0.0102069
55,8.0938,0.00337931
56,4.30412,0.0118621
57,9.24584,0.0101034
58,0.232372,18.1755
59,9.19755,6.23076
60,8.17595,0.423621
61,8.2304,14.6596
62,4.04737,12.2833
63,0.328066,0.368759
64,6.37281,17.9232
65,4.73292,0.328069
66,5.06416,3.99103
67,0.225365,7.56197
68,7.50993,5.53652
69,9.35836,5.76541
70,7.32781,0.303517
71,2.77931,19.525
72,3.19073,0.347
73,4.38018,7.85283
74,3.42993,3.1039
75,0.232445,3.45276
76,2.94161,0.41469
77,2.06792,4.08317
78,2.61613,2.92366
79,0.282445,3.89455
80,2.5685,4.14483
81,7.07547,3.15597
82,2.84328,3.61869
83,6.15664,0.49431
84,0.472591,3.61155
85,5.76427,10.5878
86,5.60328,0.524207
87,7.63449,7.18545
88,5.32015,6.31297
89,8.15339,6.51441
90,8.18609,0.502241
91,9.20015,9.16297
92,6.32058,5.53617
93,7.37777,7.34059
94,0.465766,8.25679
95,6.46004,0.671069
96,12.2245,9.00231
97,0.545693,7.25631
98,7.15664,6.77303
99,8.90518,6.55976
100,9.28405,11.503
101,5.93766,6.2511
102,9.64712,7.85431
103,13.595,10.471
104,16.1616,0.463724
105,10.4876,10.2497
106,7.83536,7.18079
107,0.603686,9.0501
108,13.4767,16.451
109,14.7682,14.6309
110,10.5703,11.5883
111,0.583139,0.823345
112,9.24847,10.4761
113,8.84737,14.0457
114,10.037,16.8543
115,10.7212,9.51707
116,32.0536,0.619276
117,11.7858,9.33617
118,12.8037,10.0949
119,0.741168,0.641828
120,9.91843,11.2622
121,14.2966,0.560966
122,10.5666,11.7201
123,12.4834,37.3086
124,0.587226,0.597103
125,10.5129,13.583
126,10.0185,8.59307
127,11.0098,17.7508
128,11.154,0.940103
129,7.58759,11.4897
130,11.97,13.1268
131,14.1866,8.87924
132,0.483796,11.1953
133,16.8473,0.636862
134,13.9579,22.5462
135,15.9004,0.887
136,24.5678,8.22059
137,10.6814,10.6693
138,0.631971,15.1419
139,21.6315,18.0964
140,29.7589,13.7694
141,16.9709,15.8763
142,18.1465,0.55831
143,16.6794,25.6177
144,10.7331,13.341
145,0.67865,25.8829
146,23.8955,0.638862
147,15.195,27.0385
148,8.42657,16.9587
149,6.19584,16.2079
150,9.20372,17.4508
151,8.34719,0.533897
152,0.503321,13.7807
153,9.24876,32.0588
154,15.0758,0.691724
155,15.2245,21.3446
156,13.6595,0.672207
157,0.621496,6.07362
158,17.372,8.02783
159,0.637372,0.609138
160,13.49,7.55093
161,18.2891,12.1176
162,15.382,20.4426
163,7.57715,12.7484
164,10.5386,0.579276
165,0.436314,11.1562
166,14.2469,12.0961
167,14.9091,11.4921
168,11.7412,15.0421
169,16.7724,0.769586
170,24.7345,15.3728
171,8.60595,15.2407
172,0.534526,8.87607
173,14.0215,9.07476
174,15.8469,14.1137
175,0.468285,0.694207
176,19.1324,15.9311
177,0.533942,13.1047
178,19.5457,20.107
179,21.9935,29.933
180,0.699526,0.712414
181,36.3419,4.78266
182,0.598686,11.6237
183,26.8322,0.521138
184,0.577847,14.6695
185,24.2087,21.331
186,30.4881,0.76131
187,0.678613,23.5635
188,11.7662,25.4565
189,0.535949,24.8871
190,33.3154,21.8919
191,32.5568,29.3573
192,42.1019,0.565724
193,0.488796,24.1763
194,44.2338,35.65
195,34.1816,0.585483
196,34.082,29.5603
197,18.5574,42.499
198,33.7921,0.429517
199,0.512336,44.471
200,41.2301,37.0764
201,31.7058,33.2342
202,0.501569,46.6349
203,43.6783,43.7079
204,33.1061,42.0654
205,0.450036,34.5082
206,19.4787,18.8395
207,29.5472,35.0682
208,32.1126,0.496103
209,18.0686,38.8152
210,16.5194,0.399241
211,0.406387,35.2023
212,14.7973,43.2822
213,21.2649,36.6258
214,10.7994,51.8952
215,0.739343,0.28469
216,15.6183,30.6505
217,21.2963,20.0231
218,19.2888,19.531
219,29.0438,14.5524
220,0.643029,8.62748
221,16.1605,12.8047
222,27.8593,8.84307
223,0.371679,16.4509
224,8.09106,0.457552
225,12.4432,20.3545
226,0.388504,17.499
227,17.1106,22.764
228,15.6448,14.4352
229,0.464051,12.1303
230,17.1396,17.5592
231,19.3627,15.9966
232,21.2332,6.41224
233,18.5914,11.8217
234,0.735766,0.699793
235,21.3769,16.1753
236,17.5094,14.077
237,34.964,15.6498
238,0.698577,0.606655
239,20.1104,22.7039
240,17.4656,21.0097
241,0.486606,0.548931
242,17.3103,19.6968
243,11.2205,19.2431
244,0.00175182,21.0518
245,21.3269,18.7947
246,21.4707,22.9404
247,17.8343,14.9077
248,20.8377,0.589069
249,25.8787,15.0911
